Day,Month,Year,Hour,Minute,Second,AMPM,Red,IR,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,GSR
17,January,2025,10,05,26,AM,687,835,3636,-1348,16516,188,765,100,2544
17,January,2025,10,05,27,AM,669,834,3752,-1304,16456,194,757,73,2544
17,January,2025,10,05,28,AM,674,851,3688,-1376,16416,229,770,94,2559
17,January,2025,10,05,29,AM,694,880,3768,-1360,16456,233,761,100,2543
17,January,2025,10,05,31,AM,668,832,3776,-1320,16448,184,780,84,2544
17,January,2025,10,05,32,AM,663,834,3720,-1364,16444,194,775,75,2544
17,January,2025,10,05,33,AM,686,814,3800,-1332,16488,236,759,101,2547
17,January,2025,10,05,34,AM,663,838,3736,-1356,16448,200,773,91,2550
17,January,2025,10,05,35,AM,698,836,3736,-1320,16484,214,769,106,2539
17,January,2025,10,05,36,AM,662,823,3708,-1296,16464,191,771,94,2559
17,January,2025,10,05,37,AM,672,852,3680,-1344,16456,215,750,96,2559
17,January,2025,10,05,38,AM,683,845,3796,-1376,16448,190,735,87,2545
17,January,2025,10,05,39,AM,674,867,3732,-1356,16372,188,785,106,2551
17,January,2025,10,05,40,AM,660,805,3728,-1316,16444,210,764,66,2551
17,January,2025,10,05,41,AM,677,834,3712,-1400,16444,212,743,89,2541
17,January,2025,10,05,42,AM,675,829,3716,-1360,16456,211,749,94,2547
17,January,2025,10,05,43,AM,682,848,3668,-1332,16500,200,744,110,2543
17,January,2025,10,05,44,AM,707,836,3652,-1288,16464,196,761,98,2550
17,January,2025,10,05,45,AM,667,837,3712,-1368,16468,209,763,107,2559
17,January,2025,10,05,46,AM,668,823,3688,-1352,16500,214,773,93,2559
17,January,2025,10,05,48,AM,671,827,3676,-1380,16484,194,750,82,2546
17,January,2025,10,05,49,AM,680,836,3700,-1372,16452,209,752,105,2544
17,January,2025,10,05,50,AM,655,849,3672,-1352,16516,219,769,80,2550
17,January,2025,10,05,51,AM,686,814,3764,-1308,16456,205,765,82,2551
17,January,2025,10,05,52,AM,690,837,3752,-1348,16468,206,753,83,2544
17,January,2025,10,05,53,AM,683,834,3736,-1328,16456,218,763,92,2541
17,January,2025,10,05,54,AM,680,775,3772,-1332,16496,206,746,90,2546
17,January,2025,10,05,55,AM,698,806,3752,-1336,16484,212,756,80,2544
17,January,2025,10,05,56,AM,665,821,3728,-1356,16456,216,769,81,2554
17,January,2025,10,05,57,AM,665,855,3740,-1388,16484,210,748,81,2544
17,January,2025,10,05,58,AM,659,839,3748,-1336,16476,209,756,85,2544
17,January,2025,10,05,59,AM,676,870,3736,-1328,16472,222,771,119,2545
17,January,2025,10,06,00,AM,653,880,3764,-1308,16480,209,760,98,2538
17,January,2025,10,06,02,AM,672,844,3708,-1324,16500,206,765,98,2549
17,January,2025,10,06,03,AM,680,815,3656,-1300,16488,197,760,105,2544
17,January,2025,10,06,04,AM,679,842,3732,-1308,16492,232,750,115,2544
17,January,2025,10,06,05,AM,679,838,3748,-1396,16492,211,767,101,2549
17,January,2025,10,06,06,AM,667,848,3768,-1428,16456,193,768,92,2557
17,January,2025,10,06,07,AM,691,829,3672,-1340,16352,222,736,100,2559
17,January,2025,10,06,08,AM,677,860,3680,-1292,16524,206,760,80,2542
17,January,2025,10,06,09,AM,678,833,3828,-1324,16500,212,746,96,2559
17,January,2025,10,06,10,AM,680,840,3704,-1352,16468,210,768,78,2550
17,January,2025,10,06,11,AM,679,811,3740,-1392,16528,226,739,93,2535
17,January,2025,10,06,12,AM,682,835,3780,-1360,16436,192,769,72,2559
17,January,2025,10,06,13,AM,693,842,3716,-1320,16476,204,745,73,2542
17,January,2025,10,06,14,AM,680,836,3700,-1420,16484,211,759,98,2554
17,January,2025,10,06,15,AM,681,840,3696,-1304,16444,226,774,77,2544
17,January,2025,10,06,16,AM,683,875,3736,-1400,16444,227,752,102,2556
17,January,2025,10,06,18,AM,672,862,3696,-1364,16448,211,734,92,2553
17,January,2025,10,06,19,AM,681,792,3744,-1416,16684,194,765,83,2549
17,January,2025,10,06,20,AM,674,837,3696,-1376,16440,217,744,79,2551
17,January,2025,10,06,21,AM,660,827,3756,-1348,16472,186,794,95,2545
17,January,2025,10,06,22,AM,653,829,3688,-1384,16456,218,761,92,2559
17,January,2025,10,06,23,AM,696,842,3692,-1372,16460,214,740,102,2546
17,January,2025,10,06,24,AM,681,875,3736,-1384,16492,218,763,83,2544
17,January,2025,10,06,25,AM,667,820,3688,-1352,16460,230,741,81,2544
17,January,2025,10,06,26,AM,657,869,3748,-1412,16524,215,776,91,2548
17,January,2025,10,06,27,AM,668,829,3676,-1260,16408,206,788,88,2538
17,January,2025,10,06,28,AM,663,835,3708,-1364,16488,229,744,86,2549
17,January,2025,10,06,29,AM,679,842,3776,-1364,16452,204,782,86,2543
17,January,2025,10,06,30,AM,657,830,3688,-1336,16448,210,784,88,2559
17,January,2025,10,06,31,AM,678,846,3784,-1328,16448,212,760,78,2546
17,January,2025,10,06,32,AM,662,815,3776,-1376,16452,201,749,94,2544
17,January,2025,10,06,34,AM,680,793,3636,-1304,16472,220,749,96,2547
17,January,2025,10,06,35,AM,723,818,3672,-1332,16444,202,768,70,2545
17,January,2025,10,06,36,AM,703,853,3752,-1404,16512,212,751,107,2559
17,January,2025,10,06,37,AM,672,862,3748,-1320,16380,194,761,94,2556
17,January,2025,10,06,38,AM,651,765,3696,-1324,16460,197,772,90,2544
17,January,2025,10,06,39,AM,670,832,3712,-1328,16408,237,746,109,2547
17,January,2025,10,06,40,AM,658,815,3760,-1308,16476,199,743,64,2553
17,January,2025,10,06,41,AM,689,845,3672,-1376,16444,197,769,89,2559
17,January,2025,10,06,42,AM,669,848,3724,-1324,16408,195,740,113,2559
17,January,2025,10,06,43,AM,654,853,3760,-1400,16540,212,771,105,2547
17,January,2025,10,06,44,AM,662,892,3680,-1336,16460,214,773,90,2537
17,January,2025,10,06,45,AM,676,839,3684,-1352,16520,226,762,81,2544
17,January,2025,10,06,46,AM,669,840,3640,-1308,16464,204,749,90,2543
17,January,2025,10,06,48,AM,672,863,3740,-1380,16440,211,760,85,2549
17,January,2025,10,06,49,AM,665,828,3716,-1300,16504,222,746,85,2559
17,January,2025,10,06,50,AM,694,885,3764,-1328,16496,208,744,89,2559
17,January,2025,10,06,51,AM,680,889,3760,-1352,16472,188,762,79,2553
17,January,2025,10,06,52,AM,658,851,3768,-1348,16472,197,738,96,2553
17,January,2025,10,06,53,AM,673,800,3644,-1368,16492,208,749,62,2541
17,January,2025,10,06,54,AM,652,859,3708,-1336,16432,208,766,66,2559
